소설,01
시/에세이,03
인문,05
가정/육아,07
요리,08
건강,09
취미/실용/스포츠,11
경제경영,13
자기계발,15
정치/사회,17
역사/문화,19
종교,21
예술/대중문화,23
중/고등참고서,25
기술/공학,26
외국어,27
과학,29
취업/수험서,31
여행,32
컴퓨터/IT,33
잡지,35
청소년,38
초등참고서,39
유아(0~7)세,41
어린이(초등),42
만화,47
한국소개도서,53

